,BugId,Project,FixHashId,BUG,BIC,Comments
312,1242662,neutron,7d44629c2e8003f5bbb87e9b697eec54b4cce793,1,1,Exception does not exist
313,1242819,nova,8c985874c7885f31871204d3f83ce547fefc5fb6,1,1,Optimize the code
314,1242933,neutron,cecd7591533e2c046aedba3b8e5d14a5b2fa7fe9,0,0,Add a feature. This allows instances to do SLAAC configuration
315,1242942,cinder,5be4620ae5bb50c8436de0e11269c85a095ed40b,1,1, does not handle missing volume group gracefully
316,1242980,cinder,b104d1c0c70898b59b6668970e05cebadecd064a,1,1,
317,1243037,nova,01e1c027754b47239b9f9a6c40196512ec262986,1,1,Forgot to check float numbers that are not allowed
318,1243062,nova,65df7336994b03b12aecf9bcdafcfb0d839815f9,1,1,Wrong description
319,1243073,neutron,9a64271bd9f741b13f6cf4a9074524d3854fdd14,1,1,
320,1243083,nova,0fcbb7b286888d642d329db1299eb9f3708d1f50,1,1,
321,1243101,nova,21045a58497818f76f880fe74b3eb5ab09088cf3,1,0,architecture
322,1243108,nova,aab3c6178571456ea3f2523f401d0a18c04e573c,1,1,Bug in a fixing bug
323,1243129,neutron,a1de76d1407952572cfe081c4872d7a6127995b3,0,0,this should be prohibited
324,1243148,neutron,258aad077279b2020b47f4136747c1e5aa4bf5a8,1,1,
325,1243193,nova,9ceee09594cd35c264cab3e3b3d1d80aaa3fdbc4,1,1,
326,1243213,neutron,355ff10f6e5e4111f14c79b1bdfc48854c81f8b3,1,0,postgre specific
327,1243301,nova,38018d32f9db5b9222436d0f860244ce38ba97fb,1,1,"The status should be deleted, but was error"
328,1243485,cinder,4adf35778b3aae3db99a90a1bbb94e668ec7963d,1,1,Exceptions wasnt handled
329,1243488,nova,0a84a7fb24a4605f0da863407512612651890003,1,1,
330,1243613,cinder,ce889d99f61aecd0b4002d44866bbfff8ff6a2c3,1,1,Typo in code
331,1243652,neutron,b9ddfa566c6caad2384c791d1ae1873ce70c261e,1,0,Bug in postgre
332,1243704,glance,c0e1d5bd2944a011c0cbaba61d284aedec086b60,0,0,it becomes easier to log the error message – feature
333,1243840,cinder,587fd9021982e3b1fb0c5765df6bad2723701031,1,0,Bug: Error message when it is just could be a warning. Also done because: ‘This is to comply with the desire of the QA team’
334,1243849,nova,661fa0c83309f002bbbdd67d81f3e6fbb6bde829,1,0,New decision
335,1243878,neutron,50da460869661ba63971a17c9c1b514bf22874a2,1,1,
336,1244018,nova,b9b55935cb61cc1726525b1c4963e352a3a81ea9,1,1,
337,1244092,glance,4ba5cbc48f471c39826aa38244f86a2a6252b2e9,1,1,
338,1244203,nova,73ee7346675ffb38276583ac7b941970f7037181,0,0,The code shows that add a feature
339,1244220,nova,a528302a248f4128c3440665f38b964a3593c3f5,1,0,Evolution
340,1244238,cinder,bfb66019edd197141ea1462ba78dd27a2ed0e40d,1,1,
341,1244257,cinder,8185d1b5db421441ebba128f23f840a42f9bf050,1,1,
342,1244415,cinder,2737c76cb2fb436f117a4f635aebca7a01691d88,1,1,
343,1244609,cinder,e011130104950c854bc9e139e24422b753653063,1,1,Typo in message
344,1244829,nova,c0e546ace478277cc2911b1c5bef1e082b76b546,1,1,"Broken method, I dont see a evolution context"
345,1244860,neutron,8cf394b896e3644ff51edf6a0d462501fb6e6843,1,1,
346,1244918,nova,34e14fbbb5293c52ef5dbfeb1172390f15d79e1f,1,0,I think is a VMware ESX specific error
347,1245208,neutron,d52f84d96a2fadcf90fdac7a3e265c45d2ec234a,0,0,Tests… ‘Should not’
348,1245310,neutron,9b083d7636508cbc5addfe3457c1aac706f0e267,0,0,Might potentially  cause consumers to not work properly
365,1246258,nova,b12da559b6a40fba4e4431d74372b5e350047525,1,1,
366,1246276,nova,04e53669dd3e6acd8086fd06ea073a02207ffb24,1,1,
367,1246291,cinder,d281149ea0f860c7c862f7897710d2e1fcb681e7,0,0,Remove unnecesary calls (¿To improve the performance?) I think is just refactoring the code
368,1246327,nova,482dfeb113f1e0ff814aa1fc980d67e0c8b06d76,1,0,Evolution of Havana
369,1246592,nova,e74ceb68e1642d773f2ad0c655e6354f7a7fb362,1,1,typo error
370,1246737,neutron,0d131ff0e9964cb6a65f64809270f9d597c2d5d1,1,1,
371,1246788,neutron,3c3e6eef90c87440c87803dba3325e7cc8c79a17,1,0,postgres specific
372,1246848,nova,1c1570ff7ac8470d7dba28c893300835b22e0966,1,1,
373,1247106,nova,6e8a094c48dc77fdfe68c72c7a09b7819710d4b6,1,1,Inconsistent states
374,1247185,nova,8c985874c7885f31871204d3f83ce547fefc5fb6,1,0,if qemu-img >= 0.12.1
375,1247217,nova,187140c2fcafb56752f0160832607e374a4a94ff,1,1,
376,1247427,nova,88861df2b95a9c66a1a9d1969ad9e560786bb848,1,1,
377,1247556,nova,8797aeaf14352a353ebfd1ed011f63a5b2fa3447,1,1,
378,1247610,nova,0ed493b829e8b8844b86a80da3cd70c69b1fe23a,1,1,Bad status
379,1247743,cinder,10108f4d2e640a9fc12037ece39a833421d27149,1,0,NFS specific
380,1247844,nova,7070e4a66f576b2e6e4a4f1121445200e7854942,0,0,The client needs to provide a more granular exception. Feature
381,1247902,neutron,bb2c4ef9a26b12c68ca1e6710d0c92ce00c464cb,0,0,I think we need to handle collections such as… Feature
382,1247976,neutron,5e8043e8a2675b4485a52d688ea86d1165d81a29,0,0,Add VM (live) migration support to the ML2 cisco nexus mechanism
383,1247998,cinder,e066158b5235a3879fe90fa3bd813fc3363c01f5,1,1,There is a problem
384,1248002,neutron,504f496d6b4fd6234c3e65ba636ee12b004fae1f,0,0,Bug in tests
385,1248019,nova,17d131661740e452e9729d9ac8881e6fede23dd7,1,0,Issue with NFS
386,1248214,glance,66f52c0b0d03362b72f65631af3e562cc999f84a,0,0,Remove unused method
387,1248216,cinder,2f62736e47367404ac56525689412d123d69c283,0,0,Remove deprecated command in tests
388,1248219,neutron,2fb996642a597e7050ecc13ef6f3ad4aaae34997,1,1,
